Sleep On, Date, Hour, Real (out), Imaginary (out)
0,Apr 02 - 2018,1:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,1:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,2:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:36,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:39,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:42,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:45,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:48,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:51,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:54,0.0000000000,0.0000000000
0,Apr 02 - 2018,3:57,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:00,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:03,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:06,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:09,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:12,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:15,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:18,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:21,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:24,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:27,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:30,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:33,0.0000000000,0.0000000000
0,Apr 02 - 2018,4:36,0.0000000000,0.0000000000
